subj,targ,targ_cond,targ_ord,targ_pos,f1,f1_cond,f1_ord,f1_pos,f2,f2_cond,f2_ord,f2_pos,targ_f1,targ_f2,f1_f2
12,1,'Expected',146,3,1,'Expected',70,2,0,'Unexpected',23,1,76,123,47
12,0,'Expected',25,1,0,'Expected',57,2,1,'Expected',120,3,-32,-95,-63
12,0,'Unexpected',84,2,1,'Expected',177,3,0,'Unexpected',26,1,-93,58,151
12,1,'Unexpected',108,2,0,'Unexpected',27,1,0,'Unexpected',170,3,81,-62,-143
12,1,'Expected',128,3,0,'Unexpected',100,2,0,'Unexpected',29,1,28,99,71
12,0,'Expected',179,2,1,'Expected',197,3,1,'Expected',31,1,-18,148,166
12,1,'Unexpected',33,1,1,'Expected',196,3,1,'Expected',139,2,-163,-106,57
12,1,'Expected',142,2,0,'Expected',34,1,1,'Expected',190,3,108,-48,-156
12,1,'Unexpected',36,1,1,'Expected',124,2,0,'Unexpected',153,3,-88,-117,-29
12,1,'Expected',186,2,1,'Expected',216,3,1,'Unexpected',37,1,-30,149,179
12,1,'Unexpected',121,2,1,'Expected',38,1,0,'Expected',208,3,83,-87,-170
12,1,'Expected',39,1,1,'Expected',159,3,0,'Expected',132,2,-120,-93,27
12,1,'Expected',171,3,0,'Expected',135,2,0,'Expected',40,1,36,131,95
12,0,'Unexpected',195,2,1,'Expected',228,3,0,'Expected',42,1,-33,153,186
12,1,'Expected',43,1,1,'Expected',172,3,1,'Expected',138,2,-129,-95,34
12,0,'Expected',136,3,0,'Expected',44,1,0,'Expected',107,2,92,29,-63
12,1,'Expected',212,3,1,'Expected',45,1,1,'Expected',178,2,167,34,-133
12,1,'Expected',46,1,0,'Expected',191,3,0,'Expected',96,2,-145,-50,95
12,1,'Expected',62,2,0,'Expected',47,1,0,'Expected',113,3,15,-51,-66
12,1,'Expected',98,2,0,'Unexpected',48,1,0,'Expected',115,3,50,-17,-67
12,1,'Expected',220,2,0,'Expected',49,1,0,'Expected',234,3,171,-14,-185
12,0,'Expected',140,2,1,'Unexpected',147,3,0,'Expected',50,1,-7,90,97
12,1,'Expected',51,1,0,'Expected',203,3,0,'Unexpected',157,2,-152,-106,46
12,0,'Unexpected',88,2,1,'Expected',188,3,1,'Unexpected',52,1,-100,36,136
12,1,'Unexpected',198,3,0,'Unexpected',87,2,0,'Unexpected',55,1,111,143,32
12,1,'Expected',200,3,1,'Expected',175,2,0,'Expected',56,1,25,144,119
12,1,'Unexpected',181,3,1,'Unexpected',58,1,0,'Expected',141,2,123,40,-83
12,1,'Expected',123,2,1,'Unexpected',61,1,1,'Unexpected',176,3,62,-53,-115
12,1,'Expected',80,2,0,'Expected',155,3,1,'Unexpected',64,1,-75,16,91
12,1,'Expected',66,1,0,'Expected',104,2,1,'Unexpected',167,3,-38,-101,-63
12,1,'Expected',67,1,0,'Unexpected',199,2,0,'Expected',204,3,-132,-137,-5
12,1,'Expected',69,1,1,'Expected',161,3,1,'Unexpected',133,2,-92,-64,28
12,0,'Expected',71,1,0,'Expected',231,3,0,'Expected',150,2,-160,-79,81
12,1,'Unexpected',163,3,0,'Unexpected',89,2,1,'Expected',72,1,74,91,17
12,1,'Expected',127,2,0,'Expected',217,3,0,'Expected',74,1,-90,53,143
12,1,'Expected',75,1,0,'Expected',169,3,0,'Expected',118,2,-94,-43,51
12,0,'Expected',151,2,0,'Expected',166,3,0,'Expected',76,1,-15,75,90
12,1,'Unexpected',137,3,0,'Expected',122,2,0,'Expected',77,1,15,60,45
12,1,'Expected',224,3,0,'Expected',78,1,0,'Expected',210,2,146,14,-132
12,1,'Expected',106,3,0,'Unexpected',93,2,0,'Expected',79,1,13,27,14
12,0,'Unexpected',81,1,0,'Unexpected',160,2,1,'Expected',192,3,-79,-111,-32
12,1,'Expected',85,1,1,'Expected',131,2,1,'Expected',158,3,-46,-73,-27
12,0,'Expected',218,3,0,'Expected',90,1,1,'Unexpected',187,2,128,31,-97
12,1,'Unexpected',91,1,1,'Expected',226,3,1,'Expected',149,2,-135,-58,77
12,1,'Expected',116,3,0,'Unexpected',109,2,1,'Unexpected',92,1,7,24,17
12,1,'Expected',213,3,1,'Unexpected',94,1,1,'Expected',105,2,119,108,-11
12,1,'Expected',95,1,0,'Unexpected',174,2,1,'Unexpected',232,3,-79,-137,-58
12,1,'Expected',215,3,0,'Unexpected',99,1,1,'Unexpected',114,2,116,101,-15
12,1,'Unexpected',110,2,0,'Expected',101,1,0,'Expected',154,3,9,-44,-53
12,1,'Unexpected',102,1,0,'Expected',207,3,0,'Unexpected',117,2,-105,-15,90
12,0,'Unexpected',125,2,1,'Unexpected',165,3,1,'Expected',103,1,-40,22,62
12,1,'Unexpected',111,1,1,'Expected',168,2,1,'Expected',193,3,-57,-82,-25
